VALUE,COUNT,MICHI,US_200BPS,US_200EVT,US_200SCLASS,BPS_CODE,BPS_NAME,BPS_MODEL,GROUPVEG,EVT_NAME,EVT_PHYS,LABEL,DESCRIPTIO
299,332,0,1639,7906,120,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban,Urban
300,547,0,1639,7907,120,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban,Urban
301,96,0,31,9113,132,31,Barren-Rock/Sand/Clay,na,Barren-Rock/Sand/Clay,Laurentian-Acadian Acidic Cliff and Talus,Sparsely Vegetated,Barren or Sparse,Barren or Sparse
302,4,0,1625,7974,180,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Row Crop,Agricultural,Agriculture,Agriculture
303,35,0,1639,7362,2,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Northern Pine Forest,Conifer,B,Succession Class B
304,97,0,1639,9089,2,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,B,Succession Class B
305,19,0,1639,9088,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,D,Succession Class D
306,213,0,1623,7366,3,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer,C,Succession Class C
307,11,0,1637,9617,6,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Floodplain Shrubland,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
308,796,0,1615,7906,120,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban,Urban
309,8,0,1625,9202,1,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Northern Great Lakes Coastal Marsh,Riparian,A,Succession Class A
310,118,0,1639,7466,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Great Lakes Wooded Dune and Swale,Riparian,C,Succession Class C
311,28,0,1625,9120,1,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Wet Meadow,Riparian,A,Succession Class A
312,507,0,1615,7407,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Pine Barrens,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
313,2,0,1621,9114,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Alkaline Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
314,618,0,1621,7366,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Pine-Hemlock Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
315,1309,0,1625,9312,7,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Northeastern North American Temperate Forest Plantation,Conifer,UE,Uncharacteristic Exotic Vegetation
316,41,0,1639,9617,1,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Floodplain Shrubland,Riparian,A,Succession Class A
317,513,0,1621,9056,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
318,21,0,1633,7362,3,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer,C,Succession Class C
319,2159,0,1615,7192,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Recently Logged-Shrub Cover,Shrubland,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
320,22,0,1633,7366,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Pine-Hemlock Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
321,62,0,1633,7302,4,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,D,Succession Class D
322,132,0,1615,7242,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian Oak Barrens,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
323,9,0,1625,7976,180,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Agriculture,Agriculture
324,1111,0,1623,7906,120,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban,Urban
325,119,0,1615,9117,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Floodplain Forest,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
326,173,0,1637,7240,4,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Hardwood Forest,Hardwood,D,Succession Class D
327,110,0,1623,9620,1,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Shrub Swamp,Riparian,A,Succession Class A
328,42,0,1633,9056,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
329,2,0,1633,9055,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Boreal-Laurentian Bog,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
330,16,0,1633,9620,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Shrub Swamp,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
331,27,0,1633,9120,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Wet Meadow,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
332,158,0,1621,7239,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,C,Succession Class C
333,55,0,1637,7240,3,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Hardwood Forest,Hardwood,C,Succession Class C
334,5,0,1625,7301,2,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,B,Succession Class B
335,1235,0,1623,9111,4,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian Acidic Rocky Outcrop Woodland,Conifer,D,Succession Class D
336,51,0,1633,7481,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
337,8,0,1639,9111,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian Acidic Rocky Outcrop Woodland,Conifer,C,Succession Class C
338,90,0,1639,7240,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Hardwood Forest,Hardwood,C,Succession Class C
339,2,0,1639,7243,4,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian Pine-Oak Barrens,Conifer-Hardwood,D,Succession Class D
340,62,0,1625,9315,7,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Northern & Central Native Ruderal Forest,Conifer-Hardwood,UE,Uncharacteristic Exotic Vegetation
341,28,0,1625,7362,3,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,C,Succession Class C
342,30,0,1636,9620,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Shrub Swamp,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
343,21,0,1625,9111,3,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian Acidic Rocky Outcrop Woodland,Conifer,C,Succession Class C
344,26,0,1636,9120,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Wet Meadow,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
345,402,0,1625,7296,120,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Developed-Low Intensity,Developed-Low Intensity,Urban,Urban
346,26,0,1625,7241,2,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,B,Succession Class B
347,14,0,1633,9089,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
348,5,0,1639,9611,1,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian Acidic Rocky Outcrop Shrubland,Shrubland,A,Succession Class A
349,203,0,1637,9114,1,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Alkaline Fen,Riparian,A,Succession Class A
350,252,0,1625,7908,120,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Urban Herbaceous,Developed,Urban,Urban
351,6,0,1625,9114,1,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Alkaline Fen,Riparian,A,Succession Class A
352,162,0,1625,7934,7,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Developed Ruderal Grassland,Developed,UE,Uncharacteristic Exotic Vegetation
353,4,0,1633,7240,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Hardwood Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
354,10,0,1633,7362,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Northern Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
355,632,0,1623,7905,120,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Urban Deciduous Forest,Developed,Urban,Urban
356,8,0,1621,7481,2,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,B,Succession Class B
357,186,0,1625,7931,7,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,UE,Uncharacteristic Exotic Vegetation
358,3303,0,1625,7191,1,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Recently Logged-Herb and Grass Cover,Grassland,A,Succession Class A
359,10535,0,1615,7191,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Recently Logged-Herb and Grass Cover,Grassland,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
360,824,0,1625,7192,1,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Recently Logged-Shrub Cover,Shrubland,A,Succession Class A
361,13,0,1633,7302,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
362,35,0,1625,7977,180,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agriculture,Agriculture
363,13,0,1625,9620,1,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian-Acadian Shrub Swamp,Riparian,A,Succession Class A
364,103,0,1615,9315,7,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Northern & Central Native Ruderal Forest,Conifer-Hardwood,UE,Uncharacteristic Exotic Vegetation
365,31,0,1625,7975,180,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Close Grown Crop,Agricultural,Agriculture,Agriculture
366,5214,0,1615,7296,120,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Developed-Low Intensity,Developed-Low Intensity,Urban,Urban
367,331,0,1637,7191,5,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Recently Logged-Herb and Grass Cover,Grassland,E,Succession Class E
368,3,0,1633,7933,7,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,UE,Uncharacteristic Exotic Vegetation
369,2,0,1621,9117,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Floodplain Forest,Riparian,C,Succession Class C
370,1117,0,1621,7302,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
371,2,0,1625,7243,2,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Laurentian Pine-Oak Barrens,Conifer-Hardwood,B,Succession Class B
372,1,0,1625,9318,7,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,UE,Uncharacteristic Exotic Vegetation
373,3,0,1625,7978,180,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Wheat,Agricultural,Agriculture,Agriculture
374,2,0,1621,9117,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Floodplain Forest,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
375,8,0,1625,9314,7,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,UE,Uncharacteristic Exotic Vegetation
376,532,0,1637,7906,120,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban,Urban
377,16,0,1639,9315,7,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Northern & Central Native Ruderal Forest,Conifer-Hardwood,UE,Uncharacteristic Exotic Vegetation
378,305,0,1639,7905,120,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Eastern Cool Temperate Urban Deciduous Forest,Developed,Urban,Urban
379,7,0,1633,7301,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
380,119,0,1621,7906,120,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Urban Evergreen Forest,Developed,Urban,Urban
381,3394,0,1615,7297,120,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Developed-Medium Intensity,Developed-Medium Intensity,Urban,Urban
382,159,0,1637,7908,120,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Eastern Cool Temperate Urban Herbaceous,Developed,Urban,Urban
383,897,0,1637,7907,120,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban,Urban
384,24,0,1637,9088,4,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,D,Succession Class D
385,50,0,1637,7241,6,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
386,13,0,1637,9112,6,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian Jack Pine-Red Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
387,5,0,1639,7238,3,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Laurentian-Acadian Northern Oak Forest,Hardwood,C,Succession Class C
388,110,0,1615,7974,180,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Row Crop,Agricultural,Agriculture,Agriculture
389,30,0,1637,9111,3,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian Acidic Rocky Outcrop Woodland,Conifer,C,Succession Class C
390,82,0,1639,7908,120,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Eastern Cool Temperate Urban Herbaceous,Developed,Urban,Urban
391,10,0,1615,9114,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Alkaline Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
392,7,0,1615,7466,2,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Great Lakes Wooded Dune and Swale,Riparian,B,Succession Class B
393,40,0,1615,9055,6,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Boreal-Laurentian Bog,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
394,21,0,1621,9620,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Shrub Swamp,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
395,34,0,1621,9120,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Wet Meadow,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
396,1,0,1633,9056,2,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,B,Succession Class B
397,20,0,1633,9112,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian Jack Pine-Red Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
398,275,0,1621,7362,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Pine Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
399,19,0,1637,9114,6,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Alkaline Fen,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
400,178,0,1625,7297,120,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Developed-Medium Intensity,Developed-Medium Intensity,Urban,Urban
401,17,0,1637,9202,2,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Northern Great Lakes Coastal Marsh,Riparian,B,Succession Class B
402,2,0,1625,9203,1,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Northern Great Lakes Interdunal Wetland,Riparian,A,Succession Class A
403,443,0,1621,7301,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
404,20,0,1621,7238,3,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian-Acadian Northern Oak Forest,Hardwood,C,Succession Class C
405,1,0,1633,7407,6,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian Pine Barrens,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
406,232,0,1637,7296,120,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Developed-Low Intensity,Developed-Low Intensity,Urban,Urban
407,21,0,1637,9617,1,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Laurentian-Acadian Floodplain Shrubland,Riparian,A,Succession Class A
408,11,0,1640,7466,6,14920,Great Lakes Coastal Marsh Systems,14920_41_50_51_52_63,Riparian,Great Lakes Wooded Dune and Swale,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
409,111,0,1636,9089,6,14750,Laurentian-Acadian Floodplain Systems,14750_41_50_51_63_64_65_66,Riparian,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
410,1,0,1625,7466,2,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Great Lakes Wooded Dune and Swale,Riparian,B,Succession Class B
411,23,0,1640,9117,6,14920,Great Lakes Coastal Marsh Systems,14920_41_50_51_52_63,Riparian,Laurentian-Acadian Floodplain Forest,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
412,184,0,1621,7907,120,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Urban Mixed Forest,Developed,Urban,Urban
413,5,0,1623,9114,1,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Laurentian-Acadian Alkaline Fen,Riparian,A,Succession Class A
414,79,0,1639,7909,120,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Eastern Cool Temperate Urban Shrubland,Developed,Urban,Urban
415,6,0,1623,9202,1,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Northern Great Lakes Coastal Marsh,Riparian,A,Succession Class A
416,5,0,1621,7466,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Great Lakes Wooded Dune and Swale,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
417,511,0,1637,7905,120,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Eastern Cool Temperate Urban Deciduous Forest,Developed,Urban,Urban
418,259,0,1621,9112,2,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Laurentian Jack Pine-Red Pine Forest,Conifer,B,Succession Class B
419,2,0,1621,9202,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Northern Great Lakes Coastal Marsh,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
420,62,0,1625,7298,120,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Developed-High Intensity,Developed-High Intensity,Urban,Urban
421,15,0,1621,9055,6,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Boreal-Laurentian Bog,Riparian,UN,Uncharacteristic Native Vegetation Cover / Structure / Composition
422,779,0,1637,7193,4,14770,Boreal Acidic Peatland Systems,14770_40_41_50_51,Riparian,Recently Logged-Tree Cover,Conifer,D,Succession Class D
423,621,0,1625,7930,7,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13660_51_63_64_65_66,Hardwood-Conifer,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,UE,Uncharacteristic Exotic Vegetation
424,6888,0,1615,7930,7,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,UE,Uncharacteristic Exotic Vegetation
425,640,0,1623,7930,7,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,UE,Uncharacteristic Exotic Vegetation
426,954,0,1615,7931,7,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,UE,Uncharacteristic Exotic Vegetation
427,77,0,1633,9117,3,14440,Eastern Boreal Floodplain,14440_41_50_51,Hardwood,Laurentian-Acadian Floodplain Forest,Riparian,C,Succession Class C
428,198,0,1621,7931,7,13442,Boreal Jack Pine-Black Spruce Forest - Spruce-Fir,13442_51,Conifer,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,UE,Uncharacteristic Exotic Vegetation
429,339,0,1639,7930,7,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,14810_41_50_51_63,Riparian,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,UE,Uncharacteristic Exotic Vegetation
430,207,0,1615,7933,7,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,UE,Uncharacteristic Exotic Vegetation
431,53,0,1615,7952,7,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,UE,Uncharacteristic Exotic Vegetation
432,789,0,1623,7296,120,13651,Boreal White Spruce-Fir-Hardwood Forest - Inland,13651_51,Conifer,Developed-Low Intensity,Developed-Low Intensity,Urban,Urban
433,124448,0,1614,7302,3,13022,Laurentian-Acadian Northern Hardwoods Forest - Hemlock,13022_41_50_51,Hardwood,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,C,Succession Class C
